TRIP ID,Shipment ID,Latitude,Longitude,TIME SLOT,Vehicle_Type_x,Shipments,MST_DIST,TRIP_TIME,Vehicle_Type_y,CAPACITY_UTI,TIME_UTI,COV_UTI
0,27,18.9954236,72.8218266,07:00:00-09:30:00,3W,3,21.77413775728223,138.87068878641116,3W,0.6,0.9258045919094078,1.4516091838188152
0,519,18.9951882,72.8211985,07:00:00-09:30:00,3W,3,21.77413775728223,138.87068878641116,3W,0.6,0.9258045919094078,1.4516091838188152
0,1019,18.994614,72.8227235,07:00:00-09:30:00,3W,3,21.77413775728223,138.87068878641116,3W,0.6,0.9258045919094078,1.4516091838188152
1,31,19.0796575,72.8460627,07:00:00-09:30:00,3W,3,7.405841887955113,67.02920943977557,3W,0.6,0.44686139626517046,0.49372279253034085
1,645,19.0818985,72.8457231,07:00:00-09:30:00,3W,3,7.405841887955113,67.02920943977557,3W,0.6,0.44686139626517046,0.49372279253034085
1,1152,19.0815955,72.8475075,07:00:00-09:30:00,3W,3,7.405841887955113,67.02920943977557,3W,0.6,0.44686139626517046,0.49372279253034085
2,43,19.0587,72.8291,07:00:00-09:30:00,3W,3,10.96504543230755,84.82522716153775,3W,0.6,0.5655015144102516,0.7310030288205033
2,759,19.0594212,72.8305101,07:00:00-09:30:00,3W,3,10.96504543230755,84.82522716153775,3W,0.6,0.5655015144102516,0.7310030288205033
2,1014,19.060463,72.832554,07:00:00-09:30:00,3W,3,10.96504543230755,84.82522716153775,3W,0.6,0.5655015144102516,0.7310030288205033
3,118,18.977982,72.831399,07:00:00-09:30:00,3W,4,23.95655670672943,159.78278353364715,3W,0.8,1.0652185568909809,1.5971037804486286
3,159,18.9800925,72.830641,07:00:00-09:30:00,3W,4,23.95655670672943,159.78278353364715,3W,0.8,1.0652185568909809,1.5971037804486286
3,274,18.9800925,72.830641,07:00:00-09:30:00,3W,4,23.95655670672943,159.78278353364715,3W,0.8,1.0652185568909809,1.5971037804486286
3,1070,18.9811034,72.8304999,07:00:00-09:30:00,3W,4,23.95655670672943,159.78278353364715,3W,0.8,1.0652185568909809,1.5971037804486286
4,128,18.9655756,72.8054145,07:00:00-09:30:00,3W,3,29.574216351819118,177.8710817590956,3W,0.6,1.185807211727304,1.9716144234546078
4,217,18.9641182,72.8043259,07:00:00-09:30:00,3W,3,29.574216351819118,177.8710817590956,3W,0.6,1.185807211727304,1.9716144234546078
4,629,18.965598,72.8034217,07:00:00-09:30:00,3W,3,29.574216351819118,177.8710817590956,3W,0.6,1.185807211727304,1.9716144234546078
5,134,19.0180039,72.8374638,07:00:00-09:30:00,3W,3,15.53859676887784,107.6929838443892,3W,0.6,0.7179532256292613,1.0359064512585225
5,288,19.0203686,72.8370136,07:00:00-09:30:00,3W,3,15.53859676887784,107.6929838443892,3W,0.6,0.7179532256292613,1.0359064512585225
5,1075,19.0180039,72.8374638,07:00:00-09:30:00,3W,3,15.53859676887784,107.6929838443892,3W,0.6,0.7179532256292613,1.0359064512585225
6,136,18.9428694,72.8284227,07:00:00-09:30:00,3W,3,31.993999862416032,189.96999931208018,3W,0.6,1.2664666620805345,2.1329333241610686
6,625,18.9457804,72.8273433,07:00:00-09:30:00,3W,3,31.993999862416032,189.96999931208018,3W,0.6,1.2664666620805345,2.1329333241610686
6,1097,18.9467598,72.8246674,07:00:00-09:30:00,3W,3,31.993999862416032,189.96999931208018,3W,0.6,1.2664666620805345,2.1329333241610686
